Delta,Original,New
0.05,0.45621994137763977,0.4499593675136566
0.05,0.45621994137763977,0.415422260761261
0.05,0.45621994137763977,0.5125760436058044
0.05,0.45621994137763977,0.41300350427627563
0.05,0.45621994137763977,0.38249194622039795
0.05,0.45621994137763977,0.3704853951931
0.05,0.45621994137763977,0.47502923011779785
0.05,0.45621994137763977,0.4590529501438141
0.05,0.45621994137763977,0.508372962474823
0.05,0.45621994137763977,0.38527941703796387
0.05,0.45621994137763977,0.5391417145729065
0.05,0.45621994137763977,0.4364217221736908
0.05,0.45621994137763977,0.5273653268814087
0.05,0.45621994137763977,0.437904953956604
0.05,0.45621994137763977,0.42459771037101746
0.05,0.45621994137763977,0.42526504397392273
0.05,0.45621994137763977,0.44608867168426514
0.05,0.45621994137763977,0.4746723473072052
0.05,0.45621994137763977,0.5261942744255066
0.05,0.45621994137763977,0.4111979007720947
0.05,0.45621994137763977,0.468628466129303
0.05,0.45621994137763977,0.5314047932624817
0.05,0.45621994137763977,0.44406914710998535
0.05,0.45621994137763977,0.5125930309295654
0.05,0.45621994137763977,0.4607354998588562
0.05,0.45621994137763977,0.3909890949726105
0.05,0.45621994137763977,0.4761841893196106
0.05,0.45621994137763977,0.46510735154151917
0.05,0.45621994137763977,0.44236746430397034
0.05,0.45621994137763977,0.43474137783050537
0.05,0.45621994137763977,0.4499158263206482
0.05,0.45621994137763977,0.35068485140800476
0.05,0.45621994137763977,0.42323365807533264
0.05,0.45621994137763977,0.4361029863357544
0.05,0.45621994137763977,0.4703989326953888
0.05,0.45621994137763977,0.45839613676071167
0.05,0.45621994137763977,0.4727315306663513
0.05,0.45621994137763977,0.5310096740722656
